yr,InitYear,YearDead,Site,spp,TagNo,TagStatus,Tapedist,Direction,dist,dbh1,tdbh,ht1,Cones,FYC,FALSE,order,site_tag
2002,2002,2003,EF1,P,934,N,31.6,W,3.8,1.9,1.9,69,0,0,TRUE,2,EF1_934
2003,2002,2003,EF1,P,934,F,31.6,W,3.8,-100,-100,-100,0,0,TRUE,3,EF1_934
2002,2002,2014,EF1,P,935,N,42.4,W,3.2,6,6,-100,0,0,TRUE,4,EF1_935
2003,2002,2014,EF1,P,935,F,42.4,W,3.2,7.2,7.2,-100,0,0,TRUE,5,EF1_935
2005,2002,2014,EF1,P,935,F,42.4,W,3.2,10,10,-100,0,0,TRUE,6,EF1_935
2008,2002,2014,EF1,P,935,F,42.4,W,3.2,12,12,-100,0,0,TRUE,7,EF1_935
2009,2002,2014,EF1,P,935,F,42.4,W,3.2,14.4,14.4,-100,0,0,TRUE,8,EF1_935
2011,2002,2014,EF1,P,935,F,42.4,W,3.2,16.4,16.4,-100,1,1,TRUE,9,EF1_935
2013,2002,2014,EF1,P,935,F,42.4,W,3.2,17.4,17.4,-100,0,0,TRUE,10,EF1_935
2014,2002,2014,EF1,P,935,F,42.4,W,3.2,17.4,17.4,-100,0,0,TRUE,11,EF1_935
2002,2002,2003,EF1,P,945,N,39.1,W,1,2.6,2.6,-100,0,0,TRUE,12,EF1_945
2003,2002,2003,EF1,P,945,F,22.5,W,0.4,-100,-100,-100,0,0,TRUE,13,EF1_945
2008,2002,2003,EF1,P,945,TR,22.5,W,0.4,-100,-100,-100,0,0,TRUE,14,EF1_945
2002,2002,2014,EF1,P,946,N,39.3,W,4.1,4.5,4.5,261,0,0,TRUE,15,EF1_946
2003,2002,2014,EF1,P,946,F,39.3,W,4.1,5.5,5.5,426,0,0,TRUE,16,EF1_946
2005,2002,2014,EF1,P,946,F,39.3,W,4.1,7.9,7.9,426,0,0,TRUE,17,EF1_946
2008,2002,2014,EF1,P,946,F,39.3,W,4.1,10.3,10.3,-100,4,0,TRUE,18,EF1_946
2009,2002,2014,EF1,P,946,F,39.3,W,4.1,11.3,11.3,-100,6,0,TRUE,19,EF1_946
2011,2002,2014,EF1,P,946,F,39.3,W,4.1,14.4,14.4,-100,6,0,TRUE,20,EF1_946
2013,2002,2014,EF1,P,946,F,39.3,W,4.1,15.1,15.1,-100,6,0,TRUE,21,EF1_946
2014,2002,2014,EF1,P,946,F,39.3,W,4.1,15.1,15.1,-100,11,0,TRUE,22,EF1_946
2002,2002,2014,EF1,P,947,N,40.3,W,2,4.5,4.5,212,0,0,TRUE,23,EF1_947
2003,2002,2014,EF1,P,947,F,40.3,W,2,5.8,5.8,372,0,0,TRUE,24,EF1_947
2005,2002,2014,EF1,P,947,F,40.3,W,2,9.2,9.2,-100,0,0,TRUE,25,EF1_947
2008,2002,2014,EF1,P,947,F,40.3,W,2,11,11,-100,0,0,TRUE,26,EF1_947
2009,2002,2014,EF1,P,947,F,40.3,W,2,11.5,11.5,-100,0,0,TRUE,27,EF1_947
2011,2002,2014,EF1,P,947,F,40.3,W,2,12.4,12.4,-100,0,0,TRUE,28,EF1_947
2013,2002,2014,EF1,P,947,F,40.3,W,2,12.7,12.7,-100,0,0,TRUE,29,EF1_947
2014,2002,2014,EF1,P,947,F,40.3,W,2,12.7,12.7,-100,0,0,TRUE,30,EF1_947
